system:index,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,latitude,longitude,month,year,.geo
0_0,1924.2985228504185,28.32837248470911,-14.054142620049914,1.0,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-14.054142620049914,28.32837248470911]}"
0_1,1924.2984688314964,28.32837248470911,-13.991260550161547,1.0,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-13.991260550161547,28.32837248470911]}"
0_2,1929.9058790671788,28.642782834150943,-13.92837848027318,1.0,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-13.92837848027318,28.642782834150943]}"
0_3,1929.9059284895102,28.70566490403931,-13.92837848027318,1.0,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-13.92837848027318,28.70566490403931]}"
0_4,1.8883065397599965,36.125749150866554,-5.753709394785536,1.0,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.753709394785536,36.125749150866554]}"
0_5,1.9778623272776128,36.125749150866554,-5.690827324897168,1.0,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.690827324897168,36.125749150866554]}"
0_6,1927.4370913975868,36.18863122075492,-5.753709394785536,1.0,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.753709394785536,36.18863122075492]}"
0_7,1.9924331192642066,36.18863122075492,-5.690827324897168,1.0,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.690827324897168,36.18863122075492]}"
0_8,1928.103346873521,36.25151329064329,-6.068119744227368,1.0,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.068119744227368,36.25151329064329]}"
0_9,1925.7363393188025,36.25151329064329,-6.005237674339001,1.0,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.005237674339001,36.25151329064329]}"
0_10,1926.242894833322,36.25151329064329,-5.753709394785536,1.0,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.753709394785536,36.25151329064329]}"
